BreakerId,ActiveEnergy,timestamp
3,433176,2026-03-01T04:00:01.578
4,1028780,2026-03-01T04:00:01.578
5,556998,2026-03-01T04:00:01.578
6,0,2026-03-01T04:00:01.578
7,13320,2026-03-01T04:00:01.578
1,993019,2026-03-01T05:00:01.646
2,18846,2026-03-01T05:00:01.646
3,433176,2026-03-01T05:00:01.647
4,1028810,2026-03-01T05:00:01.647
5,557017,2026-03-01T05:00:01.647
6,0,2026-03-01T05:00:01.647
7,13320,2026-03-01T05:00:01.647
1,993035,2026-03-01T06:00:01.828
2,18860,2026-03-01T06:00:01.829
3,433176,2026-03-01T06:00:01.829
4,1028840,2026-03-01T06:00:01.829
5,557038,2026-03-01T06:00:01.829
6,0,2026-03-01T06:00:01.829
7,13320,2026-03-01T06:00:01.829
1,993051,2026-03-01T07:00:01.593
2,18875,2026-03-01T07:00:01.593
3,433176,2026-03-01T07:00:01.593
4,1028870,2026-03-01T07:00:01.593
5,557056,2026-03-01T07:00:01.593
6,0,2026-03-01T07:00:01.593
7,13320,2026-03-01T07:00:01.593
1,993067,2026-03-01T08:00:01.641
2,18889,2026-03-01T08:00:01.641
3,433176,2026-03-01T08:00:01.641
4,1028890,2026-03-01T08:00:01.641
5,557075,2026-03-01T08:00:01.641
6,0,2026-03-01T08:00:01.641
7,13320,2026-03-01T08:00:01.641
1,993085,2026-03-01T09:00:01.557
2,18904,2026-03-01T09:00:01.557
3,433176,2026-03-01T09:00:01.557
4,1028920,2026-03-01T09:00:01.557
5,557094,2026-03-01T09:00:01.557
6,0,2026-03-01T09:00:01.557
7,13320,2026-03-01T09:00:01.557
1,993103,2026-03-01T10:00:01.654
2,18919,2026-03-01T10:00:01.654
3,433176,2026-03-01T10:00:01.654
4,1028930,2026-03-01T10:00:01.654
5,557115,2026-03-01T10:00:01.654
6,0,2026-03-01T10:00:01.654
7,13320,2026-03-01T10:00:01.654
1,993122,2026-03-01T11:00:01.706
